"game","company","relation"
15831,4059,"developer"
15917,54,"publisher"
15917,9155,"publisher"
15917,881,"developer"
15917,9155,"developer"
16082,1266,"publisher"
16082,4603,"developer"
16084,1366,"publisher"
16084,6600,"developer"
16084,8504,"developer"
16103,5572,"publisher"
16103,10398,"publisher"
16103,187,"developer"
16110,88,"publisher"
16110,2331,"developer"
16256,2967,"publisher"
16256,5600,"developer"
16314,82,"publisher"
16314,1690,"developer"
16321,8027,"publisher"
16321,739,"publisher"
16321,1458,"developer"
16321,8027,"developer"
16352,1465,"publisher"
16352,1465,"developer"
16357,6983,"publisher"
16357,6983,"developer"
16357,955,"developer"
16372,167,"publisher"
16372,360,"publisher"
16372,1628,"developer"
